SoldTo,NamaAgen,Wilayah,TipePangkalan,IDRegistrasi,NamaPangkalan,EmailPangkalan,NoHPPemilik,NoKTPPemilik,NamaPemilik,NomorNIB,QtyKontrak,Catatan,TipePembayaran,NoRekening,NamaBank,NamaAkunBank,TanggalDiapproveSAM,Provinsi,Kota,Kecamatan,Kelurahan,RT,RW,KodePos,Alamat,IntegrasiMAP,MID,Latitude,Longitude,StatusPembaharuan
793601,PT. BERKAH LPG SEJAHTERA,KOTA MEDAN,Regular,1.2023636293307,SPBU 142011473,megawahyuni869@gmail.com,81236649438,1271472278038295,Mega Wahyuni,,1000,11 OKTOBER 2019,Cashless,1060010000000.0,Bank Mandiri,MEGA WAHYUNI,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN KOTA,SEI PUTIH BARAT,111,111,20114,Jalan Saputra No 149,Ya,LPG_221704,3.609279,98.671207,Active Diperbaharui
793603,PT. PATRA NIAGA MEDAN,KOTA MEDAN,Regular,1.2023662237696,DEWI JAYA,fauzidewi507@gmail.com,81288119238,1271522959071172,Fauzi Dewi,1207336626520000,800,11 OKTOBER 2019,Cashless,1060010000000.0,Bank Mandiri,FAUZI DEWI,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN BARAT,PULO BRAYAN DARAT II,111,111,20235,Jalan Ariyani No 156,Ya,LPG_226893,3.614705,98.680521,Active Diperbaharui
793600,PT. INTI GAS NUSANTARA,KOTA MEDAN,Regular,1.2023766756408,ARIYANI JAYA,olaariyani959@gmail.com,81230574376,1271933899826183,Ola Ariyani,1207395904940000,1120,,Cashless,1060010000000.0,Bank Mandiri,OLA ARIYANI,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN BARAT,GAHARU,111,111,20236,Jalan Priasa No 96,Ya,LPG_226027,3.601077,98.67741,Active Diperbaharui
793600,PT. RESTU JAYA,KOTA MEDAN,Regular,1.2023665121018,RAHAYU JAYA,pratamarahayu467@gmail.com,81270248050,1271239777084900,Pratama Rahayu,,1120,,Cashless,1060010000000.0,Bank Mandiri,PRATAMA RAHAYU,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN KOTA,GLUGUR KOTA,111,111,20235,Jalan Ariyani No 164,Ya,LPG_228818,3.592182,98.678699,Active Diperbaharui
793600,PT. INTI GAS NUSANTARA,KOTA MEDAN,Regular,1.2023712374801,SPBU 142011749,ovisantoso241@gmail.com,81221219425,1271500203776800,Ovi Santoso,1207271747680000,1120,11 OKTOBER 2019,Cashless,1060010000000.0,Bank Mandiri,OVI SANTOSO,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN PETISAH,SEI PUTIH BARAT,111,111,20235,Jalan Saputra No 146,Ya,LPG_218223,3.620366,98.673063,Active Diperbaharui
793602,PT. PATRA NIAGA MEDAN,KOTA MEDAN,Regular,1.202378247799,PRIASA MAJU,megapriasa622@gmail.com,81217163607,1271884094599748,Mega Priasa,1207667274250000,1650,,Cashless,1060010000000.0,Bank Mandiri,MEGA PRIASA,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN PERJUANGAN,GAHARU,111,111,20114,Jalan Ariyani No 125,Ya,LPG_214834,3.616274,98.66134,Active Diperbaharui
793601,PT. PATRA NIAGA MEDAN,KOTA MEDAN,Regular,1.2023782868489,WAHYUNI LPG,fauziwahyuni384@gmail.com,81274003202,1271818202848529,Fauzi Wahyuni,,1120,,Cashless,1060010000000.0,Bank Mandiri,FAUZI WAHYUNI,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN PERJUANGAN,SEI PUTIH BARAT,111,111,20236,Jalan Rahayu No 153,Ya,LPG_215137,3.619702,98.670363,Active Diperbaharui
793602,PT. BERKAH LPG SEJAHTERA,KOTA MEDAN,Regular,1.2023779840023,SPBU 142011556,rizkyrahayu357@gmail.com,81239773568,1271721165609117,Rizky Rahayu,1207689778310000,1650,,Cashless,1060010000000.0,Bank Mandiri,RIZKY RAHAYU,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN KOTA,GLUGUR KOTA,111,111,20236,Jalan Rahayu No 20,Ya,LPG_215615,3.590302,98.665431,Active Diperbaharui
793602,PT. PATRA NIAGA MEDAN,KOTA MEDAN,Regular,1.2023785804541,RAHAYU ENERGY,putrirahayu411@gmail.com,81260939139,1271575528300696,Putri Rahayu,1207876466250000,1120,11 OKTOBER 2019,Cashless,1060010000000.0,Bank Mandiri,PUTRI RAHAYU,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN KOTA,PULO BRAYAN DARAT II,111,111,20235,Jalan Santoso No 195,Ya,LPG_221025,3.585339,98.673509,Active Diperbaharui
793601,PT. MEDAN GAS UTAMA,KOTA MEDAN,Regular,1.202373024673,SAPUTRA GAS,sitisaputra293@gmail.com,81211220582,1271548253386804,Siti Saputra,1207673384900000,800,11 OKTOBER 2019,Cashless,1060010000000.0,Bank Mandiri,SITI SAPUTRA,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN BARAT,GAHARU,111,111,20114,Jalan Rahayu No 198,Ya,LPG_222418,3.600203,98.689468,Active Diperbaharui
793601,PT. BERKAH LPG SEJAHTERA,KOTA MEDAN,Regular,1.2023636930696,DEWI JAYA,budidewi901@gmail.com,81290190766,1271320487935813,Budi Dewi,,800,,Cashless,1060010000000.0,Bank Mandiri,BUDI DEWI,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN BARAT,GLUGUR KOTA,111,111,20235,Jalan Ahmad No 152,Ya,LPG_213664,3.592356,98.666085,Active Diperbaharui
793602,PT. ENERGI SUMATERA JAYA,KOTA MEDAN,Regular,1.2023647176893,SANTOSO MAJU,hestisantoso294@gmail.com,81258450671,1271523125553451,Hesti Santoso,,800,,Cashless,1060010000000.0,Bank Mandiri,HESTI SANTOSO,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN PERJUANGAN,GAHARU,111,111,20114,Jalan Ahmad No 53,Ya,LPG_229630,3.581083,98.678872,Active Diperbaharui
793600,PT. PATRA NIAGA MEDAN,KOTA MEDAN,Regular,1.2023642411296,RAHAYU MAJU,sitirahayu72@gmail.com,81222675422,1271971056323263,Siti Rahayu,1207585743530000,1120,,Cashless,1060010000000.0,Bank Mandiri,SITI RAHAYU,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN KOTA,SEI PUTIH BARAT,111,111,20236,Jalan Ahmad No 58,Ya,LPG_220956,3.586027,98.685827,Active Diperbaharui
793603,PT. RESTU JAYA,KOTA MEDAN,Regular,1.2023789884091,ARIYANI MAJU,lestariariyani689@gmail.com,81285510107,1271901578341780,Lestari Ariyani,1207934592800000,1000,,Cashless,1060010000000.0,Bank Mandiri,LESTARI ARIYANI,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN PETISAH,PULO BRAYAN DARAT II,111,111,20236,Jalan Santoso No 45,Ya,LPG_211002,3.590642,98.667001,Active Diperbaharui
793600,PT. ENERGI SUMATERA JAYA,KOTA MEDAN,Regular,1.2023622673974,SANTOSO LPG,lestarisantoso492@gmail.com,81214079733,1271152555696902,Lestari Santoso,1207668794590000,1000,,Cashless,1060010000000.0,Bank Mandiri,LESTARI SANTOSO,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN PETISAH,PULO BRAYAN DARAT II,111,111,20235,Jalan Dewi No 148,Ya,LPG_223125,3.628407,98.663974,Active Diperbaharui
793602,PT. ENERGI SUMATERA JAYA,KOTA MEDAN,Regular,1.2023790124308,UTAMI ENERGY,rizkyutami221@gmail.com,81228692790,1271240656479540,Rizky Utami,1207333932330000,800,,Cashless,1060010000000.0,Bank Mandiri,RIZKY UTAMI,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN TIMUR,SIDORAME BARAT II,111,111,20114,Jalan Shinellah No 161,Ya,LPG_225015,3.62555,98.673778,Active Diperbaharui
793602,PT. MEDAN GAS UTAMA,KOTA MEDAN,Regular,1.2023656165066,SHINELLAH ENERGY,sitishinellah944@gmail.com,81299470861,1271965682294622,Siti Shinellah,1207136196060000,800,,Cashless,1060010000000.0,Bank Mandiri,SITI SHINELLAH,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN PETISAH,SIDORAME BARAT II,111,111,20236,Jalan Wahyuni No 164,Ya,LPG_214400,3.619056,98.666478,Active Diperbaharui
793601,PT. ENERGI SUMATERA JAYA,KOTA MEDAN,Regular,1.2023655424907,PRIASA ENERGY,hestipriasa426@gmail.com,81219392996,1271906665095627,Hesti Priasa,1207213806560000,1000,,Cashless,1060010000000.0,Bank Mandiri,HESTI PRIASA,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN PETISAH,PULO BRAYAN DARAT II,111,111,20114,Jalan Shinellah No 64,Ya,LPG_219190,3.625745,98.669308,Active Diperbaharui
793603,PT. RESTU JAYA,KOTA MEDAN,Regular,1.2023663100437,SHINELLAH GAS,fauzishinellah535@gmail.com,81272755610,1271708743288624,Fauzi Shinellah,,1650,,Cashless,1060010000000.0,Bank Mandiri,FAUZI SHINELLAH,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN PERJUANGAN,GLUGUR KOTA,111,111,20114,Jalan Utami No 153,Ya,LPG_221931,3.604599,98.678113,Active Diperbaharui
793602,PT. MEDAN GAS UTAMA,KOTA MEDAN,Regular,1.2023619013157,DEWI ENERGY,agusdewi957@gmail.com,81278503849,1271299442450043,Agus Dewi,1207428906310000,1650,,Cashless,1060010000000.0,Bank Mandiri,AGUS DEWI,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN PERJUANGAN,SEI PUTIH BARAT,111,111,20235,Jalan Priasa No 106,Ya,LPG_214273,3.610044,98.673584,Active Diperbaharui
793601,PT. PATRA NIAGA MEDAN,KOTA MEDAN,Regular,1.2023795324977,NOSE JAYA,ovinose101@gmail.com,81227151243,1271788206198099,Ovi Nose,1207287129120000,1650,11 OKTOBER 2019,Cashless,1060010000000.0,Bank Mandiri,OVI NOSE,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN KOTA,SIDORAME BARAT II,111,111,20235,Jalan Ariyani No 117,Ya,LPG_218361,3.588752,98.663952,Active Diperbaharui
793601,PT. MEDAN GAS UTAMA,KOTA MEDAN,Regular,1.2023748443285,SPBU 142011128,fauziariyani688@gmail.com,81212358379,1271906569283952,Fauzi Ariyani,,1650,,Cashless,1060010000000.0,Bank Mandiri,FAUZI ARIYANI,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN KOTA,SIDORAME BARAT II,111,111,20236,Jalan Fitriani No 37,Ya,LPG_223702,3.5842,98.674684,Active Diperbaharui
793602,PT. BERKAH LPG SEJAHTERA,KOTA MEDAN,Regular,1.2023645727022,SPBU 142011547,pratamaariyani68@gmail.com,81257171144,1271240121489413,Pratama Ariyani,1207266391930000,1650,,Cashless,1060010000000.0,Bank Mandiri,PRATAMA ARIYANI,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN PERJUANGAN,GLUGUR KOTA,111,111,20236,Jalan Wahyuni No 160,Ya,LPG_224011,3.606169,98.676028,Active Diperbaharui
793602,PT. MEDAN GAS UTAMA,KOTA MEDAN,Regular,1.2023620651167,SPBU 142011104,budidewi777@gmail.com,81231733641,1271695225623622,Budi Dewi,1207771116460000,1650,,Cashless,1060010000000.0,Bank Mandiri,BUDI DEWI,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN TIMUR,SIDORAME BARAT II,111,111,20235,Jalan Shinellah No 34,Ya,LPG_226689,3.582807,98.679391,Active Diperbaharui
793600,PT. RESTU JAYA,KOTA MEDAN,Regular,1.2023747390558,UTAMI GAS,fauziutami814@gmail.com,81297320153,1271957109113346,Fauzi Utami,1207380970510000,1650,,Cashless,1060010000000.0,Bank Mandiri,FAUZI UTAMI,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN BARAT,PULO BRAYAN DARAT II,111,111,20114,Jalan Shinellah No 158,Ya,LPG_219363,3.583782,98.662295,Active Diperbaharui
793602,PT. PATRA NIAGA MEDAN,KOTA MEDAN,Regular,1.2023798480873,SPBU 142011814,lestaripriasa125@gmail.com,81264728164,1271795919149062,Lestari Priasa,1207525084460000,800,,Cashless,1060010000000.0,Bank Mandiri,LESTARI PRIASA,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN PERJUANGAN,SEI PUTIH BARAT,111,111,20114,Jalan Wijaya No 4,Ya,LPG_221292,3.590026,98.665349,Active Diperbaharui
793602,PT. ENERGI SUMATERA JAYA,KOTA MEDAN,Regular,1.2023785378205,DEWI LPG,agusdewi175@gmail.com,81247357152,1271479655984979,Agus Dewi,1207169764840000,1650,11 OKTOBER 2019,Cashless,1060010000000.0,Bank Mandiri,AGUS DEWI,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN TIMUR,GAHARU,111,111,20235,Jalan Ariyani No 98,Ya,LPG_214004,3.618012,98.66276,Active Diperbaharui
793600,PT. RESTU JAYA,KOTA MEDAN,Regular,1.2023750475204,FITRIANI LPG,hestifitriani884@gmail.com,81216222980,1271198803536496,Hesti Fitriani,1207619129620000,1000,,Cashless,1060010000000.0,Bank Mandiri,HESTI FITRIANI,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN KOTA,GLUGUR KOTA,111,111,20235,Jalan Priasa No 191,Ya,LPG_218073,3.601519,98.689762,Active Diperbaharui
793600,PT. BERKAH LPG SEJAHTERA,KOTA MEDAN,Regular,1.2023761740925,ARIYANI LPG,oviariyani720@gmail.com,81272804810,1271807563051592,Ovi Ariyani,,1120,,Cashless,1060010000000.0,Bank Mandiri,OVI ARIYANI,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN PETISAH,GLUGUR KOTA,111,111,20235,Jalan Fitriani No 53,Ya,LPG_223718,3.611909,98.673129,Active Diperbaharui
793603,PT. ENERGI SUMATERA JAYA,KOTA MEDAN,Regular,1.202375278692,PRIASA LPG,pratamapriasa445@gmail.com,81233704087,1271365763891944,Pratama Priasa,1207274032730000,1120,11 OKTOBER 2019,Cashless,1060010000000.0,Bank Mandiri,PRATAMA PRIASA,01 Jan 0001,SUMATERA UTARA,KOTA MEDAN,MEDAN BARAT,PULO BRAYAN DARAT II,111,111,20114,Jalan Nose No 102,Ya,LPG_227130,3.629495,98.669193,Active Diperbaharui
